Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,102.500000,102.500000,101.139999,101.320000,78.743355,26500
2010-09-10,101.680000,101.860001,101.300003,101.779999,79.100868,8600
2010-09-13,102.959999,103.139999,102.500000,103.059998,80.095642,33750
2010-09-14,102.839996,103.480003,102.379997,103.040001,80.080093,59400
2010-09-15,102.620003,103.379997,102.400002,103.300003,80.282173,9250
2010-09-16,103.019997,103.320000,102.699997,103.260002,80.251083,59550
2010-09-17,103.879997,103.879997,103.019997,103.360001,80.328796,49350
2010-09-20,103.739998,105.040001,103.459999,105.040001,81.634460,19000
2010-09-21,105.019997,105.440002,104.279999,104.720001,81.385773,19250
2010-09-22,104.559998,105.040001,103.959999,104.160004,80.950523,18100
2010-09-23,103.320000,104.339996,103.120003,103.300003,80.282173,33350
2010-09-24,103.940002,104.900002,103.860001,104.839996,81.921539,24100
2010-09-27,104.980003,104.980003,104.339996,104.339996,81.530846,15000
2010-09-28,104.320000,105.019997,103.419998,105.019997,82.062195,49850
2010-09-29,104.580002,104.919998,104.220001,104.519997,81.671478,15900
2010-09-30,105.199997,105.680000,103.959999,104.360001,81.546471,44750
2010-10-01,105.080002,105.160004,104.160004,104.720001,81.827789,17100
2010-10-04,105.260002,105.260002,103.500000,103.839996,81.140114,88700
2010-10-05,105.019997,106.199997,104.820000,106.120003,82.921700,19850
2010-10-06,106.120003,106.279999,105.620003,105.940002,82.781067,276900
2010-10-07,106.500000,106.500000,105.320000,105.879997,82.734192,49900
2010-10-08,106.019997,106.739998,105.660004,106.680000,83.359283,61550
2010-10-11,106.720001,106.839996,106.279999,106.500000,83.218689,14200
2010-10-12,106.379997,107.239998,105.739998,107.120003,83.703156,42050
2010-10-13,107.580002,108.279999,107.239998,107.760002,84.203232,74450
2010-10-14,107.699997,107.820000,106.800003,107.360001,83.890678,19100
2010-10-15,108.040001,108.080002,106.720001,107.559998,84.046944,54950
2010-10-18,107.620003,108.440002,107.440002,108.339996,84.656433,22850
2010-10-19,107.139999,107.680000,106.019997,106.620003,83.312424,38550
2010-10-20,106.940002,108.160004,106.940002,107.760002,84.203232,22800
2010-10-21,108.260002,108.760002,107.300003,107.919998,84.328217,29400
2010-10-22,108.160004,108.199997,107.940002,108.180000,84.531403,24850
2010-10-25,109.019997,109.279999,108.459999,108.500000,84.781441,29600
2010-10-26,107.919998,108.559998,107.879997,108.480003,84.765831,15000
2010-10-27,107.739998,108.220001,107.220001,108.139999,84.500153,17150
2010-10-28,108.760002,108.820000,107.760002,108.220001,84.562660,19250
2010-10-29,108.099998,108.419998,108.000000,108.300003,84.625168,13400
