Date,Open,High,Low,Close,Adj Close,Volume
2019-01-22,243.389999,243.580002,239.970001,241.660004,221.968155,5786300
2019-01-23,242.679993,243.339996,239.580002,242.020004,222.298828,3076400
2019-01-24,241.899994,242.820007,240.910004,242.259995,222.519272,2197100
2019-01-25,244.110001,245.110001,243.669998,244.320007,224.411423,3677500
2019-01-28,242.089996,242.490005,240.630005,242.429993,222.675415,2407800
2019-01-29,242.550003,243.119995,241.270004,242.130005,222.399887,2436900
2019-01-30,243.660004,246.779999,242.880005,245.960007,225.917755,6028400
2019-01-31,245.860001,248.529999,245.679993,248.009995,227.800751,5308100
2019-02-01,248.309998,249.289993,247.460007,248.220001,227.993637,3718500
2019-02-04,248.300003,250.020004,247.589996,249.990005,229.619415,2541700
2019-02-05,250.440002,251.330002,249.919998,251.100006,230.638947,3613300
2019-02-06,250.750000,251.220001,249.949997,250.789993,230.354218,2052200
2019-02-07,249.039993,249.580002,246.619995,248.330002,228.094650,3907800
2019-02-08,247.009995,248.710007,246.199997,248.649994,228.388550,2512600
2019-02-11,249.279999,249.509995,248.220001,248.779999,228.507950,2986600
2019-02-12,250.380005,252.360001,250.339996,252.000000,231.465591,5980500
2019-02-13,252.820007,253.660004,252.389999,252.759995,232.163651,3569100
2019-02-14,251.649994,253.360001,250.830002,252.199997,231.649277,3247800
2019-02-15,254.029999,255.000000,253.809998,254.979996,234.202774,2806600
2019-02-19,254.149994,256.089996,254.149994,255.419998,234.606903,2509300
2019-02-20,255.410004,256.380005,254.889999,256.010010,235.148865,2156300
2019-02-21,255.330002,255.639999,254.039993,255.080002,234.294617,2020000
2019-02-22,255.690002,256.809998,255.449997,256.609985,235.699936,2119400
2019-02-25,258.089996,258.609985,256.880005,256.989990,236.048965,2941300
2019-02-26,256.549988,257.640015,256.410004,256.799988,235.874466,4629600
2019-02-27,256.059998,257.019989,255.100006,256.670013,235.755051,2136400
2019-02-28,256.420013,256.880005,255.850006,256.070007,235.203995,2207000
2019-03-01,257.809998,258.209991,256.329987,257.829987,236.820511,2867000
2019-03-04,258.869995,259.100006,254.490005,256.839996,235.911255,3384200
2019-03-05,256.989990,257.170013,255.960007,256.540009,235.635681,2475900
2019-03-06,256.619995,256.619995,254.600006,254.899994,234.129303,2514900
2019-03-07,254.479996,254.600006,251.949997,252.850006,232.246368,6441200
2019-03-08,250.880005,252.449997,250.339996,252.339996,231.777908,4522300
2019-03-11,253.039993,256.119995,253.020004,256.019989,235.158066,1884200
2019-03-12,256.519989,257.459991,256.369995,256.929993,235.993881,2271900
2019-03-13,257.839996,259.589996,257.690002,258.679993,237.601257,1974300
2019-03-14,258.679993,259.119995,258.040009,258.589996,237.518631,1557500
2019-03-15,259.019989,260.570007,258.869995,259.850006,238.675949,3151200
2019-03-18,260.000000,260.989990,259.769989,260.779999,239.530151,1830000
2019-03-19,261.809998,262.589996,259.880005,260.859985,239.603668,4061800
2019-03-20,260.540009,261.769989,258.839996,259.929993,238.749420,3415200
2019-03-21,257.679993,261.859985,257.679993,261.429993,241.478897,2968300
2019-03-22,260.070007,260.609985,256.369995,256.459991,236.888153,4317400
2019-03-25,256.089996,257.279999,254.949997,256.230011,236.675781,2893600
2019-03-26,258.010010,259.119995,256.730011,258.079987,238.384552,3177600
2019-03-27,258.149994,258.730011,255.229996,256.880005,237.276154,2714300
2019-03-28,257.450012,258.220001,256.269989,257.880005,238.199829,1716700
2019-03-29,259.339996,259.720001,258.179993,259.540009,239.733139,2831100
2019-04-01,261.459991,262.779999,261.190002,262.529999,242.494949,3303900
2019-04-02,262.670013,262.850006,261.809998,262.619995,242.578125,1512600
2019-04-03,263.869995,264.250000,262.399994,263.109985,243.030685,1933900
2019-04-04,263.369995,263.959991,262.670013,263.739990,243.612595,1738500
2019-04-05,264.420013,265.059998,264.119995,265.010010,244.785690,1505000
2019-04-08,264.570007,265.309998,263.910004,265.239990,244.998215,1720100
2019-04-09,264.220001,264.540009,263.290009,263.829987,243.695740,2016900
2019-04-10,264.250000,264.839996,263.850006,264.739990,244.536316,2990600
2019-04-11,265.239990,265.239990,264.089996,264.690002,244.490158,1567700
2019-04-12,266.329987,266.769989,265.630005,266.480011,246.143539,1903400
2019-04-15,266.570007,266.640015,265.470001,266.299988,245.977249,1584500
2019-04-16,267.200012,267.239990,265.859985,266.489990,246.152756,2447700
2019-04-17,267.589996,267.609985,265.399994,265.839996,245.552353,1872400
2019-04-18,266.440002,266.600006,265.079987,266.339996,246.014160,2788900
2019-04-22,265.559998,266.709991,265.470001,266.600006,246.254349,1126500
2019-04-23,266.959991,269.190002,266.709991,268.899994,248.378845,2618300
2019-04-24,268.890015,269.209991,268.230011,268.369995,247.889252,1393400
2019-04-25,268.279999,268.880005,266.980011,268.269989,247.796890,1237400
2019-04-26,268.279999,269.540009,267.459991,269.500000,248.933014,2172600
2019-04-29,269.559998,270.410004,269.459991,269.839996,249.247116,1892500
2019-04-30,269.559998,270.309998,268.109985,270.010010,249.404160,2024600
2019-05-01,270.679993,270.869995,268.000000,268.040009,247.584457,2669400
2019-05-02,267.880005,268.799988,265.929993,267.510010,247.094925,3009000
2019-05-03,268.920013,270.320007,268.700012,270.049988,249.441040,1969000
2019-05-06,265.649994,269.359985,265.309998,268.980011,248.452744,3966900
2019-05-07,266.480011,267.079987,262.480011,264.619995,244.425430,4752500
2019-05-08,264.140015,265.820007,263.470001,264.100006,243.945114,2662500
2019-05-09,261.940002,263.839996,260.200012,263.290009,243.196960,3094800
2019-05-10,262.369995,265.380005,259.269989,264.519989,244.333054,3131900
2019-05-13,259.369995,260.339996,257.070007,258.029999,238.338409,5548200
2019-05-14,258.989990,261.820007,258.839996,260.269989,240.407410,4702600
2019-05-15,258.630005,262.450012,258.399994,261.809998,241.829880,2444100
2019-05-16,262.470001,265.600006,262.450012,264.209991,244.046722,3221500
2019-05-17,261.890015,265.019989,261.859985,262.609985,242.568802,2719500
2019-05-20,260.899994,262.109985,260.019989,260.820007,240.915497,2762600
2019-05-21,262.500000,263.510010,262.250000,263.029999,242.956757,2760500
2019-05-22,262.119995,263.290009,261.869995,262.309998,242.291763,3421500
2019-05-23,260.079987,260.100006,257.679993,259.239990,239.456055,3813200
2019-05-24,260.600006,260.989990,259.059998,259.690002,239.871719,1833100
2019-05-28,259.959991,260.959991,257.290009,257.359985,237.719559,2565900
2019-05-29,256.130005,256.519989,254.100006,255.589996,236.084564,4593500
2019-05-30,256.279999,257.179993,255.139999,256.299988,236.740387,2977200
2019-05-31,253.630005,254.490005,252.770004,252.869995,233.572144,3698600
2019-06-03,252.830002,253.960007,250.770004,252.119995,232.879425,3825600
2019-06-04,254.479996,257.760010,254.029999,257.670013,238.005905,3536300
2019-06-05,259.239990,259.880005,257.420013,259.850006,240.019501,2646500
2019-06-06,260.170013,262.260010,259.510010,261.540009,241.580505,2277500
2019-06-07,262.619995,265.290009,262.450012,264.149994,243.991333,1877400
2019-06-10,265.760010,267.100006,265.299988,265.390015,245.136719,2845900
2019-06-11,267.250000,267.649994,264.690002,265.339996,245.090530,1894500
2019-06-12,265.119995,265.700012,264.359985,264.839996,244.628662,1711900
2019-06-13,265.820007,266.359985,265.109985,266.019989,245.718658,1813700
2019-06-14,265.709991,266.290009,264.910004,265.619995,245.349136,1203300
2019-06-17,265.940002,266.559998,265.619995,265.859985,245.570862,1782500
2019-06-18,267.649994,269.660004,267.299988,268.510010,248.018631,2340700
2019-06-19,268.739990,269.720001,267.760010,269.220001,248.674438,1684500
2019-06-20,271.940002,272.190002,269.730011,271.730011,250.992844,3288100
2019-06-21,271.529999,272.790009,271.170013,271.410004,250.697250,2226000
2019-06-24,271.589996,271.920013,270.899994,271.059998,250.373962,3518400
2019-06-25,271.100006,271.130005,268.269989,268.380005,247.898529,2287100
2019-06-26,269.299988,269.820007,268.019989,268.119995,247.658340,2988700
2019-06-27,267.489990,268.190002,267.170013,267.670013,248.527374,2054600
2019-06-28,268.700012,269.549988,268.179993,269.149994,249.901611,2883300
2019-07-01,272.459991,272.649994,270.299988,271.440002,252.027802,4497900
2019-07-02,271.470001,272.250000,270.619995,272.230011,252.761322,3040700
2019-07-03,272.910004,274.369995,272.760010,274.320007,254.701828,2335800
2019-07-05,273.140015,274.250000,271.859985,273.970001,254.376846,3362500
2019-07-08,272.790009,273.059998,272.029999,272.600006,253.104919,3131800
2019-07-09,271.399994,273.220001,271.339996,272.940002,253.420593,2532900
