Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-09 09:30:00-05:00,183.9199981689453,184.22999572753906,183.5500030517578,183.86000061035156,2839319,0.0,0.0
2024-01-09 09:35:00-05:00,183.85360717773438,183.94000244140625,183.25,183.25,996145,0.0,0.0
2024-01-09 09:40:00-05:00,183.25,183.42779541015625,182.8249969482422,182.91000366210938,1163890,0.0,0.0
2024-01-09 09:45:00-05:00,182.89999389648438,183.02999877929688,182.72999572753906,183.01499938964844,927299,0.0,0.0
2024-01-09 09:50:00-05:00,183.00999450683594,183.22000122070312,182.91000366210938,183.0023956298828,645303,0.0,0.0
2024-01-09 09:55:00-05:00,183.0,183.2949981689453,182.89999389648438,183.27000427246094,559668,0.0,0.0
2024-01-09 10:00:00-05:00,183.2550048828125,183.3000030517578,183.04249572753906,183.05990600585938,525495,0.0,0.0
2024-01-09 10:05:00-05:00,183.05999755859375,183.6300048828125,182.97000122070312,183.6199951171875,770208,0.0,0.0
2024-01-09 10:10:00-05:00,183.625,183.94000244140625,183.6199951171875,183.92999267578125,626968,0.0,0.0
2024-01-09 10:15:00-05:00,183.92129516601562,183.97999572753906,183.66009521484375,183.8424072265625,626697,0.0,0.0
2024-01-09 10:20:00-05:00,183.83999633789062,183.91000366210938,183.72999572753906,183.75999450683594,383305,0.0,0.0
2024-01-09 10:25:00-05:00,183.7487030029297,183.7487030029297,183.4250030517578,183.52499389648438,459332,0.0,0.0
2024-01-09 10:30:00-05:00,183.52999877929688,183.52999877929688,183.2100067138672,183.493896484375,495986,0.0,0.0
2024-01-09 10:35:00-05:00,183.49000549316406,183.73849487304688,183.45550537109375,183.73500061035156,395790,0.0,0.0
2024-01-09 10:40:00-05:00,183.73500061035156,183.74000549316406,183.5850067138672,183.6103057861328,277638,0.0,0.0
2024-01-09 10:45:00-05:00,183.61000061035156,183.77999877929688,183.59890747070312,183.77000427246094,328455,0.0,0.0
2024-01-09 10:50:00-05:00,183.77000427246094,183.80999755859375,183.52000427246094,183.60000610351562,340736,0.0,0.0
2024-01-09 10:55:00-05:00,183.61000061035156,183.75,183.49000549316406,183.49249267578125,338669,0.0,0.0
2024-01-09 11:00:00-05:00,183.49000549316406,183.8000030517578,183.49000549316406,183.77000427246094,296361,0.0,0.0
2024-01-09 11:05:00-05:00,183.77000427246094,183.8000030517578,183.6300048828125,183.72999572753906,327971,0.0,0.0
2024-01-09 11:10:00-05:00,183.72500610351562,183.8300018310547,183.69259643554688,183.80499267578125,250510,0.0,0.0
2024-01-09 11:15:00-05:00,183.80999755859375,184.15499877929688,183.7899932861328,184.0749969482422,498855,0.0,0.0
